21,S-NSL 3,518590,520586,1.492729 ,1.497466 ,1.502520 ,1.506916 ,1.508350 ,1.510826 ,1.512504 ,1.514034 ,1.515556 ,1.515981 ,1.516379 ,1.518151 ,1.518229 ,1.520326 ,1.524354 ,1.524856 ,1.528518 ,1.529155 ,1.533151 ,1.539987 ,0,0,0,0,0.15,0.53,0.80,0.924,0.968,0.984,0.990,0.995,0.997,0.997,0.997,0.997,0.998,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.997,0.997,0.992,0.991,0.968,0.930,0.86,0.81
22,S-NSL 5,522598,525596,1.495918 ,1.501037 ,1.506456 ,1.511083 ,1.512564 ,1.515088 ,1.516780 ,1.518314 ,1.519834 ,1.520258 ,1.520654 ,1.522416 ,1.522494 ,1.524576 ,1.528566 ,1.529063 ,1.532686 ,1.533316 ,1.537268 ,1.544031 ,0,0,0,0,0.04,0.32,0.67,0.86,0.941,0.972,0.984,0.992,0.995,0.996,0.996,0.996,0.997,0.998,0.998,0.998,0.997,0.998,0.998,0.998,0.998,0.997,0.988,0.992,0.972,0.939,0.86,0.81
23,S-NSL36,517524,520522,1.490037 ,1.495009 ,1.500335 ,1.505014 ,1.506557 ,1.509244 ,1.511079 ,1.512763 ,1.514444 ,1.514916 ,1.515357 ,1.517330 ,1.517417 ,1.519765 ,1.524313 ,1.524884 ,1.529071 ,1.529804 ,1.534439 ,1.542519 ,0,0,0,0,0,0,0.18,0.57,0.81,0.917,0.960,0.980,0.989,0.995,0.996,0.997,0.998,0.998,0.999,0.999,0.998,0.998,0.999,0.998,0.998,0.998,0.996,0.994,0.978,0.950,0.89,0.86
24,S-BAL 2,571508,574505,1.542397 ,1.547207 ,1.552441 ,1.557224 ,1.558863 ,1.561790 ,1.563829 ,1.565717 ,1.567616 ,1.568149 ,1.568649 ,1.570890 ,1.570989 ,1.573663 ,1.578856 ,1.579508 ,1.584298 ,1.585137 ,1.590445 ,1.599717 ,0,0,0,0,0,0,0.10,0.47,0.76,0.89,0.947,0.971,0.983,0.992,0.993,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.992,0.992,0.976,0.951,0.89,0.84
25,S-BAL 3,571530,574527,1.543615 ,1.548310 ,1.553410 ,1.558059 ,1.559649 ,1.562482 ,1.564452 ,1.566275 ,1.568105 ,1.568619 ,1.569100 ,1.571256 ,1.571351 ,1.573920 ,1.578895 ,1.579519 ,1.584088 ,1.584887 ,1.589928 ,1.598671 ,0,0,0,0,0,0.01,0.26,0.63,0.84,0.928,0.963,0.979,0.988,0.994,0.994,0.995,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.991,0.990,0.972,0.945,0.88,0.83
26,S-BAL11,573578,575575,1.543940 ,1.549224 ,1.554863 ,1.559778 ,1.561386 ,1.564166 ,1.566053 ,1.567776 ,1.569489 ,1.569968 ,1.570416 ,1.572413 ,1.572501 ,1.574864 ,1.579404 ,1.579970 ,1.584096 ,1.584814 ,1.589316 ,1.597011 ,0,0,0,0,0.01,0.24,0.61,0.84,0.932,0.967,0.982,0.989,0.993,0.995,0.996,0.997,0.998,0.998,0.999,0.999,0.998,0.999,0.999,0.999,0.998,0.998,0.989,0.995,0.988,0.979,0.929,0.89
27,S-BAL12,540595,542592,1.513584 ,1.518477 ,1.523703 ,1.528254 ,1.529738 ,1.532301 ,1.534038 ,1.535621 ,1.537194 ,1.537634 ,1.538045 ,1.539875 ,1.539956 ,1.542121 ,1.546275 ,1.546792 ,1.550561 ,1.551216 ,1.555321 ,1.562323 ,0,0,0.02,0.23,0.57,0.80,0.914,0.959,0.979,0.989,0.992,0.995,0.997,0.997,0.997,0.997,0.998,0.999,0.999,0.999,0.998,0.999,0.999,0.999,0.999,0.999,0.993,0.995,0.983,0.966,0.920,0.89
28,S-BAL14,569563,571561,1.540496 ,1.545650 ,1.551164 ,1.556011 ,1.557611 ,1.560398 ,1.562299 ,1.564039 ,1.565775 ,1.566261 ,1.566715 ,1.568742 ,1.568832 ,1.571237 ,1.575867 ,1.576446 ,1.580670 ,1.581406 ,1.586035 ,1.594001 ,0,0,0,0,0,0.09,0.44,0.74,0.88,0.946,0.970,0.983,0.989,0.992,0.993,0.994,0.995,0.997,0.998,0.998,0.997,0.998,0.998,0.998,0.997,0.997,0.989,0.993,0.983,0.967,0.914,0.86
29,S-BAL35,589612,591609,1.559587 ,1.565309 ,1.571343 ,1.576483 ,1.578127 ,1.580927 ,1.582804 ,1.584505 ,1.586188 ,1.586657 ,1.587095 ,1.589044 ,1.589130 ,1.591429 ,1.595824 ,1.596371 ,1.600344 ,1.601034 ,1.605348 ,1.612681 ,0,0,0.01,0.16,0.43,0.67,0.82,0.904,0.949,0.972,0.983,0.989,0.993,0.995,0.995,0.996,0.997,0.998,0.999,0.998,0.998,0.999,0.999,0.998,0.998,0.998,0.984,0.994,0.987,0.972,0.89,0.80
30,S-BAL41,564607,566604,1.535298 ,1.540832 ,1.546668 ,1.551635 ,1.553222 ,1.555926 ,1.557736 ,1.559377 ,1.561001 ,1.561453 ,1.561876 ,1.563756 ,1.563839 ,1.566056 ,1.570295 ,1.570822 ,1.574652 ,1.575316 ,1.579471 ,1.586524 ,0,0,0.05,0.25,0.51,0.72,0.85,0.925,0.960,0.978,0.985,0.990,0.993,0.994,0.994,0.995,0.997,0.998,0.999,0.998,0.997,0.998,0.998,0.998,0.997,0.997,0.987,0.993,0.984,0.971,0.908,0.83
