"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 N-SF10,728285.305,0.847,0.896,0.971,0.994,0.996,0.993,0.990,0.991,0.991,0.989,0.978,0.963,0.946,0.924,0.867,0.837,0.727,0.525,0.176,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.67981,1.68597,1.69308,1.70217,1.70340,1.70891,1.71688,1.72091,1.72206,1.72314,1.72806,1.72828,1.73430,1.74643,1.74800,1.76191,1.77578,,,,,,
 N-SF15,699302.292,0.764,0.837,0.954,0.990,0.998,0.995,0.993,0.994,0.994,0.994,0.988,0.977,0.964,0.941,0.887,0.857,0.746,0.525,0.158,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.65267,1.65899,1.66616,1.67494,1.67609,1.68122,1.68854,1.69222,1.69326,1.69425,1.69872,1.69892,1.70438,1.71536,1.71677,1.72933,1.74182,,,,,,
 N-SF4,755274.315,0.776,0.816,0.943,0.992,0.999,0.994,0.991,0.992,0.993,0.991,0.979,0.961,0.942,0.916,0.861,0.830,0.740,0.563,0.249,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70434,1.71052,1.71773,1.72717,1.72846,1.73432,1.74286,1.74719,1.74842,1.74959,1.75489,1.75513,1.76164,1.77477,1.77647,1.79158,1.80668,,,,,,
 SF57,847238.551,0.891,0.910,0.971,0.996,0.999,0.998,0.998,0.998,0.998,0.998,0.994,0.987,0.971,0.941,0.882,0.847,0.727,0.523,0.160,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.79026,1.79539,1.80187,1.81185,1.81335,1.82038,1.83102,1.83650,1.83808,1.83957,1.84636,1.84666,1.85504,1.87204,1.87425,1.89393,1.91366,,,,,,
 SF57HTultra,847238.551,0.914,0.930,0.980,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.996,0.991,0.985,0.971,0.941,0.924,0.831,0.621,0.250,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.79026,1.79539,1.80187,1.81185,1.81335,1.82038,1.83102,1.83650,1.83808,1.83957,1.84636,1.84666,1.85504,1.87204,1.87425,1.89393,1.91366,,,,,,
 N-SF14,762265.312,0.799,0.837,0.950,0.992,0.999,0.994,0.991,0.992,0.994,0.992,0.984,0.971,0.963,0.946,0.910,0.891,0.821,0.642,0.276,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70954,1.71581,1.72315,1.73284,1.73417,1.74022,1.74907,1.75356,1.75485,1.75606,1.76157,1.76182,1.76859,1.78228,1.78405,1.79986,1.81570,,,,,,
 SF11,785258.474,0.821,0.867,0.971,0.993,0.999,0.997,0.996,0.996,0.996,0.996,0.990,0.976,0.941,0.867,0.650,0.525,0.180, , , ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.73294,1.73843,1.74506,1.75445,1.75579,1.76200,1.77125,1.77599,1.77734,1.77862,1.78446,1.78472,1.79190,1.80645,1.80834,1.82518,1.84208,,,,,,
 N-SF6,805254.337,0.776,0.810,0.941,0.991,0.998,0.993,0.990,0.991,0.992,0.989,0.977,0.961,0.946,0.919,0.857,0.821,0.700,0.480,0.158,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.74895,1.75541,1.76307,1.77341,1.77486,1.78144,1.79114,1.79608,1.79749,1.79883,1.80491,1.80518,1.81266,1.82783,1.82980,1.84738,1.86506,,,,,,
 N-SF6HT,805254.337,0.793,0.826,0.946,0.992,0.999,0.994,0.991,0.992,0.992,0.990,0.980,0.966,0.954,0.937,0.901,0.877,0.793,0.592,0.209,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.74895,1.75541,1.76307,1.77341,1.77486,1.78144,1.79114,1.79608,1.79749,1.79883,1.80491,1.80518,1.81266,1.82783,1.82980,1.84738,1.86506,,,,,,
 N-SF6HTultra,805254.337,0.796,0.826,0.948,0.992,0.999,0.994,0.991,0.992,0.994,0.992,0.984,0.972,0.961,0.945,0.910,0.887,0.805,0.604,0.217,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.74895,1.75541,1.76307,1.77341,1.77486,1.78144,1.79114,1.79608,1.79749,1.79883,1.80491,1.80518,1.81266,1.82783,1.82980,1.84738,1.86506,,,,,,
 N-SF11,785257.322,0.826,0.867,0.965,0.994,0.999,0.994,0.992,0.992,0.994,0.991,0.981,0.967,0.946,0.919,0.852,0.815,0.686,0.428,0.083, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.72937,1.73600,1.74377,1.75401,1.75542,1.76182,1.77119,1.77596,1.77732,1.77860,1.78446,1.78472,1.79192,1.80651,1.80841,1.82533,1.84235,,,,,,
 N-SF57,847238.353,0.806,0.838,0.956,0.992,0.999,0.991,0.987,0.988,0.990,0.986,0.971,0.949,0.919,0.872,0.782,0.733,0.574,0.302,0.063,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.78502,1.79190,1.80011,1.81138,1.81296,1.82023,1.83099,1.83650,1.83807,1.83956,1.84635,1.84666,1.85504,1.87210,1.87432,1.89423,1.91440,,,,,,
 N-SF57HT,847238.353,0.806,0.838,0.956,0.992,0.999,0.992,0.988,0.989,0.991,0.987,0.972,0.951,0.928,0.896,0.831,0.793,0.657,0.382,0.063,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.78502,1.79190,1.80011,1.81138,1.81296,1.82023,1.83099,1.83650,1.83807,1.83956,1.84635,1.84666,1.85504,1.87210,1.87432,1.89423,1.91440,,,,,,
 N-SF57HTultra,847238.353,0.806,0.838,0.956,0.992,0.999,0.995,0.994,0.993,0.992,0.989,0.978,0.962,0.943,0.917,0.864,0.830,0.702,0.420,0.063,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.78502,1.79190,1.80011,1.81138,1.81296,1.82023,1.83099,1.83650,1.83807,1.83956,1.84635,1.84666,1.85504,1.87210,1.87432,1.89423,1.91440,,,,,,
 P-SF67,907214.424,0.933,0.946,0.984,0.994,0.994,0.983,0.981,0.978,0.971,0.954,0.901,0.810,0.707,0.574,0.364,0.276,0.090,0.011,0.000, ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.83479,1.84280,1.85235,1.86543,1.86727,1.87574,1.88833,1.89480,1.89666,1.89841,1.90644,1.90680,1.91675,1.93717,1.93985,1.96401,,,,,,,
 N-PK51,529770.386,0.919,0.941,0.976,0.994,0.998,0.997,0.996,0.997,0.998,0.998,0.997,0.995,0.994,0.994,0.994,0.994,0.994,0.989,0.982,0.976,0.933,0.815,0.601,0.398,0.209,0.063,0.010,0.001,0.000,0.000,1.50987,1.51312,1.51665,1.52045,1.52089,1.52278,1.52527,1.52646,1.52680,1.52711,1.52849,1.52855,1.53019,1.53333,1.53372,1.53704,1.54010,1.54527,1.550790,1.555790,,,
 N-SF66,923209.400,0.793,0.837,0.947,0.989,0.996,0.991,0.987,0.983,0.976,0.963,0.928,0.887,0.831,0.758,0.592,0.504,0.250,0.040,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.84839,1.85665,1.86650,1.87999,1.88189,1.89064,1.90368,1.91039,1.91232,1.91414,1.92248,1.92286,1.93322,1.95459,1.95739,1.98285,,,,,,,
 P-SF68,005210.619,0.793,0.905,0.976,0.996,0.999,0.997,0.996,0.994,0.989,0.976,0.905,0.758,0.574,0.302,0.036,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.93381,1.93968,1.94732,1.95970,1.96160,1.97063,1.98449,1.99171,1.99380,1.99576,2.00479,2.00520,2.01643,2.03958,2.04262,2.07018,,,,,,,
 N-PK52A,497816.370,0.987,0.991,0.996,0.998,0.998,0.997,0.997,0.998,0.999,0.999,0.998,0.997,0.996,0.996,0.997,0.997,0.997,0.996,0.992,0.988,0.950,0.831,0.618,0.428,0.250,0.120,0.044,0.014,0.000,0.000,1.47966,1.48279,1.48616,1.48971,1.49012,1.49184,1.49408,1.49514,1.49544,1.49571,1.49695,1.49700,1.49845,1.50123,1.50157,1.50450,1.50720,1.51175,1.516580,1.520960,1.524890,,
 N-FK51A,487845.368,0.891,0.933,0.976,0.992,0.998,0.998,0.998,0.998,0.999,0.999,0.998,0.997,0.997,0.997,0.997,0.997,0.997,0.995,0.990,0.985,0.948,0.831,0.618,0.428,0.262,0.137,0.058,0.000,0.000,0.000,1.46958,1.47271,1.47608,1.47959,1.47999,1.48165,1.48379,1.48480,1.48508,1.48534,1.48651,1.48656,1.48794,1.49056,1.49088,1.49364,1.49618,1.50046,1.505010,1.509110,,,
 N-FK58,456909.365,0.997,0.998,0.999,0.999,0.998,0.997,0.997,0.997,0.998,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.992,0.990,0.976,0.928,0.821,0.693,0.525,0.364,0.239,0.152,0.109,0.090,1.44114,1.44388,1.44683,1.44991,1.45026,1.45171,1.45358,1.45446,1.45471,1.45494,1.45596,1.45600,1.45720,1.45948,1.45976,1.46216,1.46436,1.46807,1.471990, , , , 
