"SCHOTT, Optical Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Internal transmission measured at 10 mm sample thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refractive Indices,,,,,,,,,,,,,,,,,,,,,,
Glass,Glascode,TAUI10/2500,TAUI10/2325,TAUI10/1970,TAUI10/1530,TAUI10/1060,TAUI10/700,TAUI10/660,TAUI10/620,TAUI10/580,TAUI10/546,TAUI10/500,TAUI10/460,TAUI10/436,TAUI10/420,TAUI10/405,TAUI10/400,TAUI10/390,TAUI10/380,TAUI10/370,TAUI10/365,TAUI10/350,TAUI10/334,TAUI10/320,TAUI10/310,TAUI10/300,TAUI10/290,TAUI10/280,TAUI10/270,TAUI10/260,TAUI10/250,  n2325.4,  n1970.1,  n1529.6,  n1060.0,  nt,  ns,  nr,  nC,  nC',  n632.8,  nD,  nd,  ne,  nF,  nF',  ng,  nh,  ni,  n334.1,  n312.6,  n296.7,  n280.4,  n248.3
 N-LAK9,691547.351,0.455,0.707,0.941,0.986,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.994,0.991,0.988,0.983,0.980,0.971,0.954,0.928,0.906,0.787,0.525,0.209,0.070,0.014,0.001,0.000,0.000,0.000,0.000,1.65294,1.66032,1.66804,1.67584,1.67672,1.68033,1.68497,1.68716,1.68777,1.68834,1.69089,1.69100,1.69401,1.69979,1.70051,1.70667,1.71239,1.72219,1.732810,,,,
 P-LAK35,693532.385,0.546,0.758,0.946,0.992,0.999,0.997,0.997,0.997,0.997,0.998,0.997,0.994,0.992,0.991,0.989,0.988,0.984,0.976,0.962,0.950,0.887,0.746,0.536,0.353,0.158,0.026,0.000,0.000,0.000,0.000,1.65762,1.66411,1.67100,1.67824,1.67909,1.68264,1.68732,1.68955,1.69018,1.69077,1.69338,1.69350,1.69661,1.70259,1.70334,1.70974,1.71569,1.72590,1.736980,,,,
 N-KZFS5,654397.304,0.657,0.826,0.963,0.988,0.999,0.998,0.997,0.997,0.997,0.997,0.994,0.990,0.986,0.983,0.978,0.976,0.967,0.950,0.928,0.910,0.793,0.372,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.61392,1.62058,1.62780,1.63577,1.63673,1.64087,1.64649,1.64922,1.65000,1.65072,1.65398,1.65412,1.65803,1.66570,1.66667,1.67511,1.68318,1.69756,,,,,
 N-LASF43,806406.426,0.398,0.713,0.937,0.984,0.998,0.998,0.998,0.997,0.996,0.995,0.990,0.980,0.967,0.954,0.933,0.919,0.882,0.821,0.707,0.618,0.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.75901,1.76662,1.77488,1.78413,1.78527,1.79018,1.79691,1.80020,1.80113,1.80200,1.80593,1.80610,1.81081,1.82005,1.82122,1.83137,1.84106,,,,,,
 N-ZK7,508612.249,0.657,0.847,0.971,0.990,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.995,0.994,0.992,0.991,0.990,0.987,0.982,0.976,0.971,0.941,0.852,0.686,0.492,0.221,0.032,0.000,0.000,0.000,0.000,1.48062,1.48637,1.49233,1.49813,1.49876,1.50129,1.50445,1.50592,1.50633,1.50671,1.50840,1.50847,1.51045,1.51423,1.51470,1.51869,1.52238,1.52865,1.535380,1.541550,,,
 P-SK60,610579.308,0.693,0.831,0.959,0.993,0.999,0.999,0.998,0.998,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.997,0.995,0.993,0.990,0.987,0.967,0.905,0.746,0.480,0.150,0.010,0.000,0.000,0.000,0.000,1.57831,1.58450,1.59102,1.59762,1.59836,1.60140,1.60530,1.60714,1.60765,1.60813,1.61026,1.61035,1.61286,1.61768,1.61828,1.62340,1.62815,1.63627,1.645060,1.653170,1.660610,,
 N-LAK22,651559.377,0.672,0.826,0.959,0.991,0.998,0.998,0.997,0.996,0.997,0.997,0.995,0.992,0.990,0.989,0.987,0.985,0.980,0.967,0.947,0.933,0.844,0.657,0.398,0.209,0.078,0.014,0.000,0.000,0.000,0.000,1.61915,1.62488,1.63100,1.63747,1.63823,1.64141,1.64560,1.64760,1.64816,1.64868,1.65103,1.65113,1.65391,1.65925,1.65992,1.66562,1.67092,1.67997,1.689750,1.698760,,,
 N-LAF2,744449.430,0.693,0.862,0.971,0.996,0.999,0.998,0.997,0.997,0.997,0.998,0.993,0.985,0.976,0.965,0.944,0.933,0.896,0.831,0.713,0.626,0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70582,1.71169,1.71816,1.72563,1.72656,1.73064,1.73627,1.73903,1.73981,1.74054,1.74383,1.74397,1.74791,1.75562,1.75659,1.76500,1.77298,1.78703,,,,,
 LAFN7,750350.438,0.382,0.700,0.937,0.984,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.993,0.986,0.976,0.950,0.937,0.905,0.842,0.693,0.546,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.70211,1.70934,1.71726,1.72642,1.72758,1.73264,1.73970,1.74319,1.74418,1.74511,1.74931,1.74950,1.75458,1.76464,1.76592,1.77713,1.78798,1.80762,,,,,
 P-BK7,516641.243,0.733,0.867,0.967,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.997,0.997,0.996,0.994,0.992,0.989,0.971,0.882,0.565,0.180,0.004,0.000,0.000,0.000,0.000,0.000,1.48811,1.49407,1.50025,1.50620,1.50683,1.50936,1.51248,1.51392,1.51431,1.51469,1.51633,1.51640,1.51832,1.52198,1.52243,1.52628,1.52982,1.53583,1.542270,,,,
 N-LAK12,678552.410,0.592,0.764,0.937,0.990,0.997,0.997,0.996,0.995,0.996,0.996,0.994,0.987,0.983,0.981,0.977,0.976,0.967,0.946,0.910,0.882,0.733,0.468,0.152,0.032,0.000,0.000,0.000,0.000,0.000,0.000,1.64541,1.65107,1.65713,1.66366,1.66443,1.66772,1.67209,1.67419,1.67478,1.67533,1.67779,1.67790,1.68083,1.68647,1.68717,1.69320,1.69882,1.70842,1.718810,,,,
 N-LASF40,834373.443,0.565,0.810,0.963,0.993,0.998,0.998,0.998,0.997,0.997,0.995,0.987,0.973,0.954,0.937,0.905,0.891,0.842,0.764,0.601,0.468,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.78600,1.79298,1.80074,1.80999,1.81118,1.81643,1.82380,1.82745,1.82849,1.82946,1.83385,1.83404,1.83935,1.84981,1.85114,1.86275,1.87393,,,,,,
 P-SK57,587596.301,0.693,0.831,0.954,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.996,0.995,0.994,0.994,0.992,0.989,0.984,0.980,0.946,0.821,0.480,0.123,0.000,0.000,0.000,0.000,0.000,0.000,1.55688,1.56271,1.56885,1.57507,1.57576,1.57862,1.58227,1.58399,1.58447,1.58492,1.58691,1.58700,1.58935,1.59384,1.59440,1.59917,1.60359,1.61112,1.619230,1.626690,,,
 P-SK57Q1,586595.301,0.693,0.831,0.954,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.996,0.995,0.994,0.994,0.992,0.989,0.984,0.980,0.946,0.821,0.480,0.123,0.000,0.000,0.000,0.000,0.000,0.000,1.55583,1.56169,1.56784,1.57407,1.57476,1.57762,1.58127,1.58299,1.58347,1.58392,1.58591,1.58600,1.58835,1.59284,1.59340,1.59817,1.60260,1.61013,1.618260,,,,
