21|697-555|LAC14|1.67394|1.68039|1.68250|1.68612|1.68856|1.69078|1.69297|1.69358|1.69415|1.69669|1.69680|1.69980|1.70553|1.70625|1.71235|1.71801|1.72765|0.427|0.549|0.818|0.949|0.981|0.996|0.994|0.993|0.993|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.998|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.999|0.997|0.996|0.994|0.989|0.983|0.976|0.962|0.945|0.880|0.833|0.746|0.646|0.520|0.393|0.265|0.141
22|729-547|TAC8|1.70508|1.71186|1.71407|1.71788|1.72045|1.72279|1.72510|1.72575|1.72635|1.72904|1.72916|1.73234|1.73844|1.73920|1.74571|1.75176|1.76205|0.448|0.577|0.845|0.956|0.986|0.997|0.986 |0.983 |0.982 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.997 |0.995 |0.991 |0.985 |0.979 |0.968 |0.950 |0.918 |0.867 |0.799 |0.709 |0.597 |0.471 |0.363 |0.252 |0.131
23|517-522|E-CF6|1.50007|1.50492|1.50650|1.50921|1.51106|1.51275|1.51444|1.51491|1.51535|1.51733|1.51742|1.51978|1.52436|1.52493|1.52990|1.53461|1.54293|||||||0.993 |0.995 |0.995 |0.996 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.996 |0.994 |0.996 |0.996 |0.990 |0.989 |0.986 |0.986 |0.985 |0.982 |0.978 |0.967 |0.939 |0.847 |0.559 |0.150 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
24|548-458|E-FEL1|1.52822|1.53358|1.53535|1.53846|1.54060|1.54258|1.54458|1.54514|1.54567|1.54803|1.54814|1.55098|1.55654|1.55724|1.56336|1.56922|1.57980|||||||0.996 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.994 |0.996 |0.996 |0.992 |0.990 |0.987 |0.985 |0.985 |0.980 |0.967 |0.944 |0.864 |0.630 |0.192 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
25|541-472|E-FEL2|1.52158|1.52671|1.52841|1.53141|1.53348|1.53538|1.53730|1.53784|1.53835|1.54062|1.54072|1.54344|1.54876|1.54943|1.55526|1.56084|1.57082|||||||0.993|0.996|0.995|0.998|0.998|0.998|0.997|0.997|0.997|0.998|0.998|0.998|0.998|0.999|0.999|0.999|0.999|0.998|0.998|0.999|0.996|0.995|0.992|0.991|0.992|0.989|0.979|0.960|0.908|0.728|0.312|0.027|0.000|0.000|0.000|0.000|0.000|0.000
26|581-409|E-FL5|1.55906|1.56466|1.56660|1.57011|1.57258|1.57489|1.57723|1.57789|1.57852|1.58132|1.58144|1.58481|1.59145|1.59229|1.59965|1.60676|1.61966|||||||0.993 |0.994 |0.993 |0.999 |0.999 |0.998 |0.998 |0.998 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.999 |0.998 |0.999 |0.999 |0.996 |0.994 |0.993 |0.989 |0.987 |0.967 |0.941 |0.873 |0.692 |0.325 |0.032 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
27|567-428|E-FL6|1.54557|1.55135|1.55327|1.55667|1.55901|1.56119|1.56339|1.56401|1.56459|1.56720|1.56732|1.57046|1.57663|1.57741|1.58424|1.59082|1.60280|||||||0.992 |0.991 |0.979 |0.997 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.999 |0.999 |0.999 |0.999 |0.999 |0.998 |0.997 |0.996 |0.998 |0.999 |0.996 |0.993 |0.990 |0.989 |0.983 |0.960 |0.921 |0.833 |0.619 |0.254 |0.019 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
28|620-363|E-F2|1.59436|1.60040|1.60259|1.60662|1.60952|1.61224|1.61502|1.61581|1.61655|1.61989|1.62004|1.62408|1.63210|1.63313|1.64213|1.65095|1.66724|||||||0.995 |0.995 |0.993 |0.999 |0.999 |0.999 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.994 |0.993 |0.995 |0.995 |0.989 |0.985 |0.982 |0.981 |0.974 |0.952 |0.910 |0.802 |0.542 |0.147 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
29|603-380|E-F5|1.57887|1.58491|1.58703|1.59087|1.59359|1.59615|1.59874|1.59948|1.60017|1.60328|1.60342|1.60718|1.61462|1.61557|1.62387|1.63195|1.64678|||||||0.994|0.994|0.990|0.998|0.998|0.998|0.998|0.998|0.998|0.998|0.999|0.999|0.999|0.999|0.999|0.999|0.996|0.994|0.997|0.996|0.991|0.988|0.985|0.984|0.978|0.957|0.916|0.820|0.574|0.190|0.000|0.000|0.000|0.000|0.000|0.000|0.000|0.000
30|717-295|E-FD1|1.68312|1.69073|1.69354|1.69886|1.70275|1.70648|1.71032|1.71142|1.71245|1.71715|1.71736|1.72310|1.73464|1.73613|1.74931|1.76244|1.78736|||||||0.992 |0.993 |0.994 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.998 |0.997 |0.998 |0.997 |0.997 |0.998 |0.998 |0.997 |0.995 |0.996 |0.996 |0.988 |0.982 |0.976 |0.968 |0.948 |0.868 |0.762 |0.543 |0.214 |0.015 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000 |0.000
